epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2380.07,1.51614,1.80849,1.21521,0.88764,0.50304,0.55551,0.32678,1.47222,1.3469,1.25223,0.000474178,0.000474178,0.000474178
2,4982.2,1.46864,1.24147,1.18088,0.87069,0.49864,0.54793,0.33233,1.3982,1.21577,1.20859,0.000931691,0.000931691,0.000931691
3,7760.83,1.44243,1.11488,1.17571,0.89937,0.51451,0.57386,0.33167,1.45579,1.04363,1.24776,0.00137034,0.00137034,0.00137034
4,10454.7,1.41972,1.03647,1.1713,0.92568,0.53754,0.58716,0.35156,1.41597,1.08299,1.21191,0.00134412,0.00134412,0.00134412
5,13147.7,1.42117,0.99903,1.1732,0.92732,0.54805,0.59757,0.36129,1.41299,0.88401,1.20225,0.00131582,0.00131582,0.00131582
6,15819.2,1.38962,0.94595,1.15638,0.92392,0.53427,0.58489,0.365,1.35623,0.84859,1.18305,0.00128753,0.00128753,0.00128753
7,18457.6,1.37344,0.91251,1.14517,0.92303,0.55811,0.60146,0.35228,1.45506,0.86593,1.23977,0.00125923,0.00125923,0.00125923
8,21119.5,1.35942,0.90177,1.14157,0.92067,0.54491,0.60011,0.37306,1.34588,0.84563,1.17946,0.00123094,0.00123094,0.00123094
9,24189.1,1.36564,0.88365,1.1414,0.9179,0.54675,0.59973,0.37342,1.35657,0.84373,1.17856,0.00120265,0.00120265,0.00120265
10,27804.3,1.34398,0.86608,1.13587,0.93079,0.54662,0.59609,0.374,1.34594,0.81148,1.17726,0.00117435,0.00117435,0.00117435
11,30537.6,1.32959,0.84003,1.13256,0.93251,0.56581,0.60778,0.3835,1.33579,0.77395,1.1653,0.00114606,0.00114606,0.00114606
12,33155.2,1.32051,0.82396,1.12634,0.93603,0.55765,0.61388,0.38623,1.31695,0.75543,1.16466,0.00111776,0.00111776,0.00111776
13,35697.1,1.31234,0.81261,1.11635,0.94689,0.56568,0.6131,0.38466,1.34908,0.74661,1.17137,0.00108947,0.00108947,0.00108947
14,38237.7,1.31424,0.80439,1.12184,0.94258,0.56057,0.61594,0.38285,1.32946,0.75884,1.17122,0.00106118,0.00106118,0.00106118
15,40797.7,1.30052,0.78819,1.11491,0.94298,0.57371,0.61994,0.39428,1.30966,0.71847,1.15307,0.00103288,0.00103288,0.00103288
16,43309.1,1.29757,0.80025,1.11773,0.93735,0.56194,0.61233,0.38428,1.33644,0.75437,1.16905,0.00100459,0.00100459,0.00100459
17,45843.3,1.29888,0.78315,1.1146,0.9475,0.56898,0.61765,0.39691,1.30945,0.71192,1.15975,0.000976293,0.000976293,0.000976293
18,48535.7,1.287,0.76119,1.1031,0.94179,0.56511,0.61735,0.39354,1.3206,0.72686,1.15846,0.000947999,0.000947999,0.000947999
19,51181.1,1.27899,0.7607,1.10772,0.93067,0.58201,0.61572,0.38543,1.32371,0.71774,1.16094,0.000919704,0.000919704,0.000919704
